homoSapienGeneId	Human_Brain1	Human_Brain2	Human_Brain3	Human_Brain4	Human_Brain5	Human_Brain6	Human_Cerebellum1	Human_Cerebellum2	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Brain_Female	Chimpanzee_Cerebellum_Male	Chimpanzee_Cerebellum_Female	Bonobo_Brain_Female1	Bonobo_Brain_Female2	Bonobo_Brain_Male	Bonobo_Cerebellum_Female	Bonobo_Cerebellum_Male	Gorilla_Brain_Female	Gorilla_Brain_Male	Gorilla_Cerebellum_Female	Gorilla_Cerebellum_Male	Orangutan_Brain_Male	Orangutan_Brain_Female	Orangutan_Cerebellum_Female	Macaque_Brain_Female	Macaque_Brain_Male1	Macaque_Brain_Male2	Macaque_Cerebellum_Female	Macaque_Cerebellum_Male	Mouse_Brain_Female	Mouse_Brain_Male1	Mouse_Brain_Male2	Mouse_Cerebellum_Female	Mouse_Cerebellum_Male1	Mouse_Cerebellum_Male2	Opossum_Brain_Female	Opossum_Brain_Male	Opossum_Cerebellum_Female	Opossum_Cerebellum_Male	Platypus_Brain_Female	Platypus_Brain_Male	Platypus_Cerebellum_Female	Platypus_Cerebellum_Male	Chicken_Brain_Female	Chicken_Brain_Male	Chicken_Cerebellum_Female	Chicken_Cerebellum_Male
ENSG00000125304	77223	50510	88597	27196	24196	3179	47999	95804	15970	29638	27512	59610	47414	27416	35095	42604	33496	40275	150455	56115	61613	77234	32586	42171	26759	25599	53955	38095	25747	0	30325	41113	28135	130805	269384	61238	104044	41578	79563	150011	28021	32712	34210	174839	78247	86819	76769	63758	43836	56817	75639
ENSG00000101447	1733	1063	1291	835	228	76	3034	904	1746	1030	719	2033	1749	911	654	3624	1742	455	2827	2104	2335	3290	2394	1140	129	209	985	142	610	0	760	821	445	2537	4281	1592	3407	1593	2163	1745	582	2120	3071	7228	3295	6986	6312	161	380	380	1017
ENSG00000028116	11098	7083	8394	2831	13710	506	1504	3896	1815	6642	6366	8776	8595	3746	3625	8397	1715	6639	8233	8717	5618	4025	3272	1858	2951	2531	3772	7656	1199	0	1213	606	664	3138	7984	1003	1627	531	1128	7620	2525	1210	1507	11748	10312	9803	5493	2590	2487	2817	4195
ENSG00000139719	20761	14596	21440	12275	6750	2068	16371	31845	18073	19734	17112	24223	25069	24685	16701	36644	19049	25955	53790	21586	22119	31788	14178	13795	5768	15582	30045	24228	54326	0	74829	49041	42847	131881	384642	84758	129543	61250	107071	63153	16328	28941	27463	42429	22423	32015	26499	50689	32622	28008	40915
ENSG00000148358	128986	76602	121798	70325	89809	17302	106795	225854	40854	43246	49940	68403	63266	84301	80577	166637	61014	83530	164687	85177	119547	13112	7958	10562	4130	13075	32439	17296	9659	0	16008	17330	11911	54467	159607	34472	90321	42030	78147	11265	1776	5210	3765	23135	10743	17554	17241	0	0	0	0
ENSG00000185917	20782	11815	12701	8760	12943	1720	11029	23267	8970	10844	11935	15237	17511	10274	10699	23878	7320	14654	26763	21917	19610	7836	5807	8161	7511	8163	17687	29484	4838	0	5682	9142	8305	6545	23903	2846	6495	3267	5252	1055	75	333	150	1728	2199	3015	2266	1706	1059	2131	1891
ENSG00000104142	61048	35232	44049	50741	31440	15407	61597	129225	43987	40042	30250	44794	40385	41792	33649	79966	38052	29747	58798	39534	53403	72745	57540	60770	19134	29202	50532	16685	40105	0	70928	31794	38175	72140	206744	45395	130755	56654	68845	89861	19604	60246	55708	38118	39043	30449	39694	30310	18863	24329	29025
ENSG00000111305	451	149	982	152	0	152	271	0	380	112	608	442	1045	227	170	152	744	758	357	76	203	906	76	0	0	1080	1745	314	152	0	0	107	243	1591	2249	304	278	0	0	347	12	76	11	76	0	159	0	833	0	0	0
ENSG00000157911	56267	29030	30049	51095	56213	16873	58015	75622	39234	37652	37249	31492	40475	26067	21427	42764	41560	68973	42269	48819	34048	44099	37051	27227	25820	12723	18085	4970	2836	0	11271	2662	4021	9960	34045	4712	17731	7386	17315	26316	5029	27965	22213	26688	18224	16181	18081	18913	9777	22524	19853
ENSG00000141258	258723	177501	189807	258661	60127	73482	142425	207286	67973	44962	48172	70415	70136	69964	36352	62355	99774	82788	123453	36352	55204	355103	247398	107419	81280	172372	241104	44917	170240	0	299114	47620	61257	142894	436788	85730	71850	46196	45456	298841	76355	13158	11731	36697	97493	10468	8548	169602	98648	40097	54991
ENSG00000091181	0	0	76	6	0	0	466	0	0	39	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	76	0	0	0	0	0	75	0	0	32	0	0	0	280	174	133	138	227	75	303	151	360	214	0	233
ENSG00000152422	1962	984	2257	303	601	0	679	2269	380	1288	758	1668	2119	1805	2018	1589	1211	3250	6160	1667	1966	1893	301	1114	299	592	1367	1309	1126	0	1203	2105	1968	6090	13337	2720	4593	1136	5072	3991	1101	441	452	8594	2595	2510	2236	1802	2126	1592	2451
ENSG00000198561	112277	90124	104873	43712	54067	10329	101361	112049	47035	47901	44800	67035	70143	84767	63211	128004	54641	114966	184047	111358	108893	238403	79778	98218	69589	57395	132635	72267	93337	0	125157	81175	71887	99755	248281	43180	139104	45775	94513	65960	14957	31849	30805	8038	7829	17917	21261	33820	23581	30826	43097
ENSG00000165219	55346	39480	52894	23214	22866	3922	56107	84395	13760	12100	12690	32323	20710	18903	34360	67907	19522	22989	70627	43128	64651	39224	17435	33377	23795	17723	36642	30620	28431	0	44852	41199	33446	134806	339721	70669	181000	73657	142107	248931	29069	74265	52349	50994	25820	39260	30328	0	0	0	0
ENSG00000029725	161753	85401	163274	46432	65388	5002	91871	118949	55388	74463	76472	145641	118298	73588	90503	132552	91296	117612	390754	101709	150287	196042	69363	79709	65535	34785	75512	42443	59840	0	76854	60439	51166	150623	389522	81007	145087	49264	122259	33411	11534	16968	20249	20889	21436	16927	11147	89735	54339	61772	86240
ENSG00000137166	46567	34032	24361	43421	39083	11013	72212	79053	17785	6932	8618	11512	11584	19513	10918	26815	19983	8750	15232	3867	13368	68491	46549	37847	9707	22716	47663	7561	36584	0	44375	14432	27959	44057	138591	26578	100543	40180	85519	2104	684	16115	21189	745	1476	1937	1063	6442	3402	14783	14142
ENSG00000104365	26687	20167	15879	12185	25623	2641	90878	61170	22373	18896	18689	18997	24267	16613	45649	57689	18163	31415	31944	51193	70113	24716	15445	29060	17966	8452	20424	21967	15793	0	19923	20871	18032	52251	132708	29545	84996	30825	68675	13398	2173	6616	6004	11103	4034	8291	5832	17575	12787	19556	24179
ENSG00000151692	70497	60342	67795	60360	104171	10160	173680	333749	14460	10013	10674	22463	17198	14489	35333	45824	14267	17953	30434	45558	71597	25849	17086	56220	17496	38191	67149	177348	4817	0	6616	12412	13467	36208	96175	14010	44135	21023	22600	13471	932	6815	4522	7058	5102	12131	8696	12768	8343	5451	5838
ENSG00000177096	1367	986	1367	607	304	531	684	1518	1747	1974	1064	1283	986	2098	912	3335	1063	2612	1325	1942	2807	2998	1371	683	817	95	152	102	882	0	1207	803	1595	455	1291	151	228	228	152	270	357	152	277	98	820	1223	660	2949	1620	1770	3106
ENSG00000117543	9331	5265	7046	1770	4129	228	3778	7965	3812	7982	5701	11884	8133	4927	5985	12536	5568	7295	18069	12642	12722	22468	9276	12645	8412	486	3196	2855	2307	0	3468	4007	2742	8579	22382	3252	8819	3713	4213	43132	10981	19685	24435	30947	17837	18637	15946	7200	5068	6597	8134
ENSG00000166257	330494	154732	440047	194731	9445	47608	16527	33648	114520	174385	146683	313582	272234	92474	32131	12505	401630	252652	859293	30139	25904	381213	113669	15463	8575	19366	32535	1314	34664	0	64000	1566	898	153078	442499	92673	30027	15276	7512	19792	3920	1538	660	14468	21589	7253	7397	94795	55472	5010	4818
ENSG00000198604	5739	4797	5093	2106	8821	380	3942	2970	3564	5939	5124	6019	5909	6267	2847	6397	10430	10837	12287	7102	3747	762	641	751	834	976	5147	5101	1286	0	1592	3026	3897	4687	9841	1364	1690	833	1378	8148	1657	2427	3518	11986	6312	7873	4319	23390	15071	18458	24329
ENSG00000165997	14299	13051	19477	3251	3412	152	18351	23569	1431	1409	1921	6623	3456	3029	7384	8988	5335	6021	22253	8518	14599	1588	324	866	302	804	776	1098	4025	0	7207	11155	3871	33004	89293	11997	31587	12066	24548	2919	420	1338	760	1539	1770	2928	883	4765	4337	3373	4616
